Gene_acc,PG.ProteinAccessions,WT1,WT2,WT3,11-1,11-2,11-3,Desc
34,Tb09.v4.0119:pseudogenic_transcript-p1,70927.6796875,163103.015625,101373.8046875,5241.1083984375,8305.87890625,15160.330078125,"variant surface glycoprotein (VSG, pseudogene), putative"
36,Tb09.v4.0150:pseudogenic_transcript-p1,27307.765625,34132.89453125,5805.60205078125,29105.859375,Filtered,27374.451171875,"variant surface glycoprotein (VSG, pseudogene), putative"
38,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,626256.5625,543026,541954.125,514720.75,504333.71875,553375.625,pumillo RNA binding protein PUF1
39,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,461627.28125,382345.625,357203.90625,232713.171875,343935.78125,251190.859375,predicted SAP domain protein
40,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,222307.515625,130019.8671875,253742,77026.53125,81229.40625,104886.0859375,"stress-inducible protein STI1-like, putative"
41,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,Filtered,44801.53125,38255.7734375,Filtered,17202.765625,229143.6875,"leucine carboxyl methyltransferase, putative"
42,Tb10.v4.0037:mRNA-p1;Tb927.10.4470:mRNA-p1,11772.4375,5294.3056640625,24168.90234375,27457.796875,70492.203125,9955.291015625,"hypothetical protein, conserved"
43,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,357216.75,350818.34375,338964.125,354646.90625,348430.71875,315579.84375,"hypothetical protein, conserved"
44,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,Filtered,108432.546875,534238.3125,97631.578125,Filtered,12548.435546875,cap guanine-N7 methyltransferase
45,Tb10.v4.0041:mRNA-p1,36686.30859375,69855.65625,66829.4140625,42452.33203125,102883.9375,19471.2421875,"PUB domain containing protein, putative"
46,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,121083.3984375,Filtered,37471.890625,66323.90625,52510.78125,61403.9375,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
47,Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1,530156.6875,306168.15625,265190.4375,186499.375,182987.921875,187370.109375,"hypothetical protein, conserved"
48,Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1,4051927.5,3971165.5,3582387,3124171,2651969.5,3016759.75,"prohibitin 2, putative"
49,Tb10.v4.0066:pseudogenic_transcript-p1,Filtered,Filtered,Filtered,Filtered,11028.896484375,Filtered,"expression site-associated gene 3 (ESAG3, pseudogene), putative"
53,Tb10.v4.0217:mRNA-p1,Filtered,Filtered,91739.8671875,38270.97265625,Filtered,27187.896484375,hypothetical protein
54,Tb10.v4.0219:pseudogenic_transcript-p1,45552.0546875,113526.0859375,33356.03515625,49247.69140625,85611.53125,75940.8984375,"retrotransposon hot spot protein (RHS, pseudogene), putative"
55,Tb10.v4.0246:mRNA-p1;Tb927.10.6900:mRNA-p1,884691.6875,894144.625,740610.6875,454126.8125,491642.96875,446727.9375,base J-associated glucosyltransferase
57,Tb10.v4.0248:mRNA-p1;Tb927.10.6920:mRNA-p1,2061508.625,2351526.75,2124582.75,1761308.125,1766707.25,1835699.125,hypothetical protein
58,Tb11.01.2730.1-p1,1533402,1551777.125,1566394.5,1484377.75,1609687.75,1541222,"hypothetical protein, conserved"
59,Tb11.01.6250:mRNA-p1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,"expression site-associated gene 11 (ESAG11) protein, putative"
60,Tb11.02.5070b.1-p1;Tb927.11.7212:mRNA-p1,Filtered,Filtered,9259.9130859375,10050.9619140625,22627.73046875,13704.830078125,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
61,Tb11.02.5080b.1-p1;Tb927.11.7213:mRNA-p1,318482.125,283580.1875,273205.375,398750.96875,354366.25,371212.5625,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
62,Tb11.02.5090.1-p1;Tb11.02.5090b.1-p1,559984.1875,581803.1875,630589.5625,514346.1875,485440.84375,524098.6875,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
64,Tb11.02.5360:mRNA-p1;Tb11.02.5360b.1-p1,7530.89599609375,7505.03466796875,Filtered,Filtered,1.2158156633377075,11221.3095703125,"hypothetical protein, conserved"
65,Tb11.02.5380.1-p1;Tb11.02.5380b.1-p1,13791142,8616744,13225638,12688945,13177169,14572218,"exosome complex exonuclease RRP44p homologue, putative"
66,Tb11.02.5390:mRNA-p1;Tb11.02.5390b.1-p1,68746.1875,65240.48828125,60524.92578125,116255.6484375,138184.9375,115690.71875,"mRNA processing protein, putative"
67,Tb11.02.5400:mRNA-p1;Tb11.02.5400b.1-p1,Filtered,Filtered,Filtered,Filtered,Filtered,10027.7138671875,"cystathionine beta-synthase, putative"
68,Tb11.02.5410:mRNA-p1;Tb11.02.5410b:mRNA-p1,76645.3046875,198851.9375,107663,310592.84375,173142.265625,Filtered,"ubiquitin activating enzyme, putative"
69,Tb11.02.5420:mRNA-p1;Tb11.02.5420b.1-p1,962541.75,990925.75,946407.875,1746180.75,1783669.5,1744184.5,"NADPH-cytochrome p450 reductase, putative"
70,Tb11.02.5430:mRNA-p1;Tb11.02.5430b.1-p1,47604.5234375,17418.5,37306.8359375,81543.2421875,91514.078125,77062.8203125,"hypothetical protein, conserved"
71,Tb11.0290:mRNA-p1;Tb11.0390:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb927.6.4980:mRNA-p1,29169996,28430026,24991678,19313704,19702864,20103074,40S ribosomal protein S14
72,Tb11.0320:mRNA-p1;Tb927.11.7690.1-p1,93993.75,73814.5078125,18270.34765625,69251.328125,96222.0390625,144048.359375,hypothetical protein
73,Tb11.0350:mRNA-p1;Tb927.11.7650.1-p1,18891.861328125,28519.611328125,37106.59375,36082.11328125,27266.54296875,34732.39453125,hypothetical protein
75,Tb11.0520:mRNA-p1;Tb927.10.1130:mRNA-p1,970519.3125,979896.75,967431.3125,1070318,1092629.25,1061596.875,"dynein arm light chain, axonemal, putative"
76,Tb11.0530:mRNA-p1;Tb927.10.1140:mRNA-p1,91178624,117556328,138928864,134846576,201877984,8810384,epsilon tubulin
77,Tb11.0540:mRNA-p1;Tb927.10.1150:mRNA-p1,77389.6640625,87765.4453125,71144.0390625,71709.671875,88486.375,59112.984375,"hypothetical protein, conserved"
81,Tb11.0845:mRNA-p1;Tb927.11.18680:mRNA-p1;Tb927.11.715:mRNA-p1,19531904,19924266,19657504,21245520,20646044,19757344,"dynein light chain LC8, putative"
82,Tb11.0870:mRNA-p1;Tb927.11.690:mRNA-p1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,"hypothetical protein, conserved"
85,Tb11.1220:mRNA-p1;Tb11.v5.0996.1-p1,9702541,9559455,11169928,10048463,9630491,10182681,"hypothetical protein, conserved"
86,Tb11.1240:mRNA-p1;Tb11.v5.0998.1-p1;Tb927.10.15270:mRNA-p1,303800.5625,254826.609375,275025.5,246718.109375,173144.390625,191250.484375,"metallo- peptidase, Clan MG, Family M24"
87,Tb11.1370.1-p1;Tb11.1420:mRNA-p1;Tb927.11.1850:mRNA-p1,25615.30859375,22215.15234375,17356.875,18166.9765625,24008.56640625,31146.8828125,"hypothetical protein, conserved"
88,Tb11.1380.1-p1;Tb927.11.1840:mRNA-p1,17335362,16179226,17308318,15766780,16562111,17585724,"hypothetical protein, conserved"
89,Tb11.1410.1-p1;Tb927.11.1810:mRNA-p1,35611.296875,32291.78125,36875.66796875,26871.62890625,29928.548828125,35120.6328125,"Ring finger domain containing protein, putative"
90,Tb11.1780.1-p1,1894859.75,1762525.5,1638667.75,2201626.25,1989339.875,2001659.125,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
91,Tb11.1790.1-p1,245051.75,302150.6875,287389.34375,273482.15625,271012.625,291939.09375,"retrotransposon hot spot protein (RHS, pseudogene), putative"
92,Tb11.1810.1-p1;Tb11.1810b.1-p1,560631.25,1081643.75,895876.5625,1371688.625,1760549.5,1416376.375,"retrotransposon hot spot protein (RHS, pseudogene), putative"
93,Tb11.v5.0147.1-p1;Tb927.7.4600:mRNA-p1,85096.625,63500.140625,64278.81640625,79560.3828125,79645.53125,64200.5546875,"Calponin homology (CH) domain containing protein, putative"
94,Tb11.v5.0150.1-p1;Tb927.7.4650:mRNA-p1,152131.3125,162996.203125,162845.59375,129469.2734375,124611.234375,125827.3359375,J Biosynthesis Protein 2
95,Tb11.v5.0153.1-p1;Tb927.7.4690:mRNA-p1,87906.859375,50485.25390625,59992.078125,149938.09375,142814.40625,148653.21875,hypothetical protein
97,Tb11.v5.0155.1-p1;Tb927.7.4720:mRNA-p1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,hypothetical protein
98,Tb11.v5.0157.1-p1;Tb927.7.4740:mRNA-p1,377257.625,392333.53125,397715.375,412003.25,512341.625,473143.6875,"hypothetical protein, conserved"
99,Tb11.v5.0158.1-p1;Tb927.7.4750:mRNA-p1,811953.1875,1167192.875,310884.03125,671816.5,867600.6875,377605.59375,"hypothetical protein, conserved"
100,Tb11.v5.0160.1-p1;Tb927.7.4770:mRNA-p1,3708336,2951086.25,2653290,6330336.5,7607665,6194773,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
101,Tb11.v5.0161.1-p1;Tb927.7.4780:mRNA-p1,599991.3125,605553.625,579460.125,415591.1875,500498.375,442901.0625,"conserved hypothetical protein, putative"
102,Tb11.v5.0162.1-p1;Tb927.7.4790:mRNA-p1,263468.875,293944.21875,348838.59375,210382.375,192667.09375,249799.375,proteasome beta 6 subunit
103,Tb11.v5.0163.1-p1;Tb927.7.4810:mRNA-p1,155224.28125,137605.328125,143690.390625,292495.5,381925.3125,279768.75,"HD domain containing protein, putative"
104,Tb11.v5.0164.1-p1;Tb927.7.4820:mRNA-p1,810285.0625,395528.34375,357381.09375,511385.09375,414660.5625,580266.5,"Trm112p-like protein, putative"
105,Tb11.v5.0166.1-p1;Tb927.7.4840:mRNA-p1,1276342.75,1310007.125,1345523.875,1113594.875,1123122,1093871.375,"hypothetical protein, conserved"
106,Tb11.v5.0167.1-p1;Tb927.7.4850:mRNA-p1,114457.796875,94752.703125,112231.703125,106114.984375,106420.046875,107792.8125,kinetoplastid kinetochore protein 5
107,Tb11.v5.0168.1-p1;Tb927.7.4860:mRNA-p1,168296.09375,164960.953125,137839.421875,113572.671875,103205.3515625,101392.3515625,kinetoplastid kinetochore protein 13
108,Tb11.v5.0169.1-p1;Tb927.7.4870:mRNA-p1,1935687.875,1986292.5,2041957.125,1597521.875,1663454.875,1689471.375,"hypothetical protein, conserved"
109,Tb11.v5.0170.1-p1;Tb927.7.4890:mRNA-p1,136165.578125,157587.0625,149658.515625,178308.375,180820.875,188705.359375,Present in the outer mitochondrial membrane proteome 34
110,Tb11.v5.0171.1-p1;Tb927.7.4900:mRNA-p1,426820,432437.09375,429909.34375,489470.0625,475100.875,490490.25,5'-3' exoribonuclease A
111,Tb11.v5.0172.1-p1;Tb927.7.4910:mRNA-p1,1877648.125,1913585.125,1931659.125,1768376.625,1650937.125,1793570.625,"hypothetical protein, conserved"
113,Tb11.v5.0177.1-p1;Tb927.7.4960:mRNA-p1,112961.1953125,102967.3203125,104811.3671875,167821.875,192031.40625,173553.546875,"hypothetical protein, conserved"
114,Tb11.v5.0179.1-p1;Tb927.7.4980:mRNA-p1,112096.2265625,105388.9296875,106872.359375,86698.8515625,80215.546875,82845.4609375,Present in the outer mitochondrial membrane proteome 35
115,Tb11.v5.0180.1-p1;Tb927.7.4990:mRNA-p1,174139.03125,41195.6953125,71164.4609375,169263.34375,97658.2578125,67694.7421875,"hypothetical protein, conserved"
116,Tb11.v5.0181.1-p1;Tb11.v5.0182.1-p1;Tb927.7.5000:mRNA-p1;Tb927.7.5020:mRNA-p1,37292080,36903860,31544874,23063876,23687312,22490528,"60S ribosomal protein L19, putative"
117,Tb11.v5.0183.1-p1;Tb927.7.5030:mRNA-p1,920198,877800.5,936484.25,802353.875,790894.8125,862017.1875,"hypothetical protein, conserved"
118,Tb11.v5.0184.1-p1;Tb927.7.5040:mRNA-p1,95161.609375,106042.625,124344.0078125,145464.34375,136578.609375,142582.859375,"kinesin, putative"
119,Tb11.v5.0185.1-p1;Tb927.7.5050:mRNA-p1,838158,907302.375,935756.25,916491.3125,884769.375,914889.75,"hypothetical protein, conserved"
120,Tb11.v5.0187.1-p1;Tb927.7.5070:mRNA-p1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,hypothetical protein
121,Tb11.v5.0188.1-p1;Tb927.7.5080:mRNA-p1,3908.3017578125,46838.5,5175.35791015625,5979,7717.5546875,7383.09814453125,ATP-NAD kinase-like protein
122,Tb11.v5.0190.1-p1;Tb927.10.5950:mRNA-p1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,"Serine/threonine-protein kinase NEK17, putative"
123,Tb11.v5.0191.1-p1,48043.09375,70940.890625,153807.359375,138813.234375,123737.7734375,126725.453125,"ELMO/CED-12 family, putative"
125,Tb11.v5.0193.1-p1;Tb927.10.5990:mRNA-p1,242332.828125,258627.703125,239928.453125,226529.015625,212246.96875,219644.296875,"Centrosomal protein of 57 kDa, putative"
126,Tb11.v5.0196.1-p1,101621.4921875,113007.78125,116902.96875,76332.03125,65502.46875,220833.375,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
127,Tb11.v5.0199.1-p1;Tb927.10.6060:mRNA-p1,7873184,6997272.5,6919379,3981254,3243063.5,3613699,universal minicircle sequence binding protein 2
128,Tb11.v5.0200.1-p1;Tb927.10.6080:mRNA-p1,469017.5,522286.1875,508835.71875,212111.0625,493468.4375,534377.75,"proteasome subunit beta type-5, putative"
129,Tb11.v5.0201.1-p1;Tb927.10.6090:mRNA-p1,102415.1640625,54923.78125,67455.828125,27589.8828125,31730.216796875,33158.6015625,"tRNA pseudouridine synthase A, putative"
130,Tb11.v5.0203.1-p1;Tb927.10.6110:mRNA-p1,344586.28125,316656.71875,298078.09375,339693.875,382897.25,316314.46875,"hypothetical protein, conserved"
131,Tb11.v5.0204.1-p1;Tb927.10.6120:mRNA-p1,Filtered,Filtered,53131.46484375,Filtered,15509.51953125,12008.89453125,"Peptidase M76 family, putative"
132,Tb11.v5.0205.1-p1;Tb927.10.6130:mRNA-p1,50354.9140625,47239.0390625,38247.21484375,54088.2578125,30245.736328125,47419.7734375,"hypothetical protein, conserved"
134,Tb11.v5.0210.1-p1;Tb927.5.286b:mRNA-p1,Filtered,Filtered,Filtered,Filtered,81311.828125,Filtered,adenosine transporter 1
135,Tb11.v5.0213.1-p1;Tb927.5.291b:mRNA-p1,157396.953125,Filtered,Filtered,319369.5625,Filtered,35423.1484375,"variant surface glycoprotein (VSG)-related, putative"
136,Tb11.v5.0214.1-p1;Tb927.5.295b:mRNA-p1,1122757.375,1206424.625,1082346.5,1646684,1749554.25,1780333.75,retrotransposon hotspot (RHS) protein 1
137,Tb11.v5.0216.1-p1;Tb927.5.309b:mRNA-p1,433348.71875,318147.21875,44543.21484375,256018,201718.96875,221237.734375,"invariant surface glycoprotein, putative"
138,Tb11.v5.0218.1-p1;Tb927.5.500:mRNA-p1,2504704.75,2793168.5,3010828,2555737.25,2394783.75,2521373,"hypothetical protein, conserved"
139,Tb11.v5.0219.1-p1;Tb927.5.490:mRNA-p1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,"methyltransferase, putative"
141,Tb11.v5.0222.1-p1;Tb927.5.450:mRNA-p1,23630.44921875,36383.67578125,23114.4921875,31506.818359375,Filtered,39189.078125,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
142,Tb11.v5.0226.1-p1;Tb927.5.410:mRNA-p1,Filtered,Filtered,Filtered,5104.681640625,4051.62841796875,6921.2841796875,"invariant surface glycoprotein, putative"
143,Tb11.v5.0228.1-p1;Tb927.5.390:mRNA-p1,85304.8359375,147436.53125,103679.6953125,90231.3203125,105020.3046875,115412.375,"75 kDa invariant surface glycoprotein, putative"
144,Tb11.v5.0230.1-p1;Tb927.5.370:mRNA-p1,95994.1953125,850158.375,146420.84375,362023.28125,315752.375,295131.46875,"75 kDa invariant surface glycoprotein, putative"
145,Tb11.v5.0231.1-p1;Tb927.5.360:mRNA-p1,186630.3125,153073.140625,229140.90625,238087.96875,200702.78125,245531.109375,75 kDa invariant surface glycoprotein
146,Tb11.v5.0233.1-p1;Tb927.10.5240:mRNA-p1,192180.21875,193219.953125,129613.09375,149514.3125,104330.296875,89470.921875,"cAMP binding protein, putative"
147,Tb11.v5.0236.1-p1;Tb927.10.5210:mRNA-p1,39070.41015625,54955.6875,47842.1796875,44400.3671875,84361.34375,37912.42578125,TFIIH basal transcription factor subunit
148,Tb11.v5.0237.1-p1;Tb927.10.5200:mRNA-p1,121063.7109375,99014.8515625,119456.8671875,67186.46875,62299.51171875,62591.5234375,"hypothetical protein, conserved"
149,Tb11.v5.0243.1-p1;Tb11.v5.1060.1-p1;Tb927.10.5330:mRNA-p1;Tb927.10.5340:mRNA-p1,48889168,47554424,45065720,33978984,36755664,34995504,"40S ribosomal protein S18, putative"
151,Tb11.v5.0245.1-p1;Tb927.10.5310:mRNA-p1,160624.109375,155033.59375,150892.453125,169522.96875,103889.28125,129752.0859375,"AMP-activated kinase, alpha 1"
152,Tb11.v5.0246.1-p1;Tb927.10.5300:mRNA-p1,980760.5,910590.625,927673.875,819214,625422.0625,660163.625,"eukaryotic translation initiation factor 6 (eIF-6), putative"
153,Tb11.v5.0248.1-p1;Tb927.10.5280:mRNA-p1,836061.5625,28127.751953125,17841.380859375,17124.677734375,49376.734375,13288.69140625,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
154,Tb11.v5.0249.1-p1;Tb927.10.5270:mRNA-p1,Filtered,66645.171875,326076.5625,67259.28125,122061.171875,34550.453125,mitogen-activated protein kinase kinase 5
155,Tb11.v5.0252.1-p1;Tb927.11.7310:mRNA-p1,1523363.25,1401014.25,1443446.125,1164750.5,1140992.75,1187111.75,"RNA binding protein, putative"
156,Tb11.v5.0253.1-p1;Tb927.11.7300:mRNA-p1,89603.5703125,63582.7421875,62624.7109375,35438.41015625,48186.05078125,39848.23828125,"major facilitator superfamily, putative"
157,Tb11.v5.0254.1-p1;Tb927.11.7290:mRNA-p1,202949.40625,94182.453125,82198.2890625,171261.828125,201814.65625,186074.9375,"pantothenate kinase subunit, putative"
158,Tb11.v5.0255.1-p1;Tb927.11.7280:mRNA-p1,724630.5,696536.5,741396.1875,621864.375,674750,598325.25,"DNA-direcetd RNA polymerase II, subunit 9, putative"
159,Tb11.v5.0256.1-p1;Tb927.11.7270:mRNA-p1,253383.5,295307.40625,68002.515625,61994.359375,94499.2109375,36730.17578125,"proteasome beta 3 subunit, putative"
160,Tb11.v5.0258.1-p1;Tb927.11.7240:mRNA-p1,2553230.5,2457803.75,2568974.5,2400942,2411323,2609721.75,nexin-dynein regulatory complex 2
161,Tb11.v5.0261.1-p1;Tb927.7.4480:mRNA-p1,119634.90625,143220.953125,167632.84375,85693.0625,70778.21875,149509.59375,"adenosine 5'-monophosphoramidase, putative"
162,Tb11.v5.0262.1-p1;Tb927.7.4490:mRNA-p1,417285.34375,439148.9375,433286.15625,490538.15625,485407.71875,469689.9375,"hypothetical protein, conserved"
163,Tb11.v5.0263.1-p1;Tb927.7.4500:mRNA-p1,127107.953125,177692.3125,204969.4375,101693.796875,103417.1328125,176358.46875,"PX domain containing protein, putative"
164,Tb11.v5.0264.1-p1;Tb927.7.4510:mRNA-p1,425786.0625,459870.03125,456156.6875,297014.4375,316734.03125,312932.28125,"Domain of unknown function (DUF4201), putative"
165,Tb11.v5.0265.1-p1;Tb927.7.4520:mRNA-p1,185103.6875,237961.703125,270627.625,104092.6328125,101039,157361.671875,"Thioredoxin-like, putative"
166,Tb11.v5.0267.1-p1;Tb927.7.4540:mRNA-p1,481325.09375,469153.59375,481371.4375,407893.5625,396161.90625,408631.34375,"hypothetical protein, conserved"
167,Tb11.v5.0268.1-p1;Tb927.7.4550:mRNA-p1,165477.515625,188774.46875,167996.203125,183273.046875,195480.078125,201544.859375,Mitochondrial ribosomal protein L7/L12
169,Tb11.v5.0270.1-p1;Tb927.7.4570:mRNA-p1,1652592.375,1624826.125,1754264,1807667.75,1586176.5,1875601.25,inosine-guanine nucleoside hydrolase
170,Tb11.v5.0271.1-p1;Tb927.10.6350:mRNA-p1,1808518.125,2294197,1920176.625,1626299.625,1542672.875,1894301.75,trypanin
171,Tb11.v5.0272.1-p1;Tb927.10.6340:mRNA-p1,482711.71875,540851.1875,711773.5,513830.34375,464768.34375,557392.375,"hypothetical protein, conserved"
172,Tb11.v5.0273.1-p1;Tb927.10.6330:mRNA-p1,466319.0625,524484.6875,510128.625,468459.0625,458587.09375,470351.71875,kinetoplastid kinetochore protein 1
173,Tb11.v5.0274.1-p1;Tb927.10.6320:mRNA-p1,1158557.25,1213633.5,1273339,1368998.25,1201681.5,1196262.125,"CBF/Mak21 family, putative"
174,Tb11.v5.0275.1-p1;Tb927.10.6310:mRNA-p1,72264.875,83825.7578125,76719.4375,51230.8984375,79375.6328125,93954.40625,"major vault protein, putative"
175,Tb11.v5.0276.1-p1;Tb927.10.6300:mRNA-p1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Mitochondrial ribosomal protein S5
176,Tb11.v5.0277.1-p1;Tb927.10.6290:mRNA-p1,1811216.25,1772881,1766576.125,1370260.75,1174265.75,1268306.25,"ATP-dependent DEAD/H RNA helicase, putative"
177,Tb11.v5.0278.1-p1;Tb927.10.6280:mRNA-p1,Filtered,Filtered,61203.47265625,48446.828125,Filtered,Filtered,"N-terminal glutamine amidase, putative"
179,Tb11.v5.0289.1-p1;Tb927.11.12770:mRNA-p1,18387.451171875,13911.7451171875,20298.470703125,28293.4375,21077.28125,30454.18359375,"ubiquitin ligase, putative"
180,Tb11.v5.0291.1-p1;Tb927.11.12750:mRNA-p1,940029.375,775965.5,940017.9375,696165.875,553340.25,552652.8125,cleavage and polyadenylation specificity factor 30 kDa subunit
181,Tb11.v5.0303.1-p1;Tb927.10.15930:mRNA-p1,275832.84375,283029.96875,322058.28125,398610.1875,396574.53125,373376.53125,"pdz domain containing protein, putative"
182,Tb11.v5.0305.1-p1;Tb927.10.15950:mRNA-p1,254837.984375,475796.4375,438919.9375,263589.90625,300241.625,292958.8125,TATA-box-binding protein
183,Tb11.v5.0306.1-p1;Tb927.10.15970:mRNA-p1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,"Triglyceride lipase, putative"
184,Tb11.v5.0325.1-p1,74262.75,96165.2265625,257987.1875,335492.125,342585.34375,300727.3125,"retrotransposon hot spot (RHS) protein, putative"
185,Tb11.v5.0326.1-p1,149306.59375,169242.6875,163941.5625,379120.5625,742312.5625,503241.9375,"retrotransposon hot spot (RHS) protein, putative"
186,Tb11.v5.0330.1-p1;Tb927.10.8440:mRNA-p1,4526004,3599016.5,4566483.5,7131558,7103074,8310178.5,glucose transporter 1B
187,Tb11.v5.0331.1-p1;Tb927.10.8500:mRNA-p1;Tb927.10.8510:mRNA-p1;Tb927.10.8520:mRNA-p1,582125.6875,267559,227200.421875,28282.2890625,126839.390625,106859.5078125,"glucose transporter, putative"
